ArtistName,EditionNumber,TitleofWork,Year,PageNumberofImage,ArtistUniqueID ,ArtistNationality,ArtistGender,ArtistRace,ArtistEthnicity,HeightofWorkinGardner(cm)*,WidthofWorkinGardner(cm),LengthofText(cm),WidthofText(cm),ExtraTextLength(cm),ExtraTextWidth(cm),AreaofWorkinGardner(cm^2),AreaofText(cm^2),ExtraTextArea(cm^2),TotalAreaText(cm^2),TotalSpace(cm^2),PageArea(cm^2),SpaceRatioPerPage,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Douglas,9,Noah's Ark,1991,965,1,American,Male,Black or African American,Not Hispanic or Latinx,11.3,8.5,14.5,8.4,,,96.05,121.8,,121.8,217.85,616.5,0.3533657745,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Douglas,10,Noah's Ark,1996,1053,1,American,Male,Black or African American,Not Hispanic or Latinx,12.1,8.9,12.4,9,,,107.69,111.6,,111.6,219.29,586.42,0.3739470004,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Douglas,11,Noah's Ark,2001,1030,1,American,Male,Black or African American,Not Hispanic or Latinx,12.3,8.8,10.8,9,,,108.24,97.2,,97.2,205.44,677.44,0.3032593292,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Douglas,12,Noah's Ark,2005,990,1,American,Male,Black or African American,Not Hispanic or Latinx,12.3,8.8,15.7,8.9,,,108.24,139.73,,139.73,247.97,657.66,0.3770489311,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Douglas,13,Noah's Ark,2009,937,1,American,Male,Black or African American,Not Hispanic or Latinx,12.8,9.3,15,9.3,,,119.04,139.5,,139.5,258.54,648.93,0.3984096898,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Douglas,14,Noah's Ark,2013,867,1,American,Male,Black or African American,Not Hispanic or Latinx,12.8,9.3,18.8,9.3,,,119.04,174.84,0,174.84,293.88,648.93,0.4528685683,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Douglas,15,Noah's Ark,2016,912,1,American,Male,Black or African American,Not Hispanic or Latinx,12.7,9.2,21.2,9.2,,,116.84,195.04,0,195.04,311.88,646.7,0.4822638008,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Douglas,16,"From Slavery through Reconstruction, from Aspects of Negro Life",2020,932,1,American,Male,Black or African American,Not Hispanic or Latinx,7.9,19,14.7,13.9,,,150.1,204.33,0,204.33,354.43,651.84,0.543737727,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adélaïde Labille-Guiard,14,Self-Portrait with Two Pupils,2013,740,2,French,Female,White,Not Hispanic or Latinx,14,10.2,4.5,9.3,9.2,8.8,142.8,41.85,80.96,122.81,265.61,648.93,0.4093045475,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adélaïde Labille-Guiard,15,Self-Portrait with Two Pupils,2016,776,2,French,Female,White,Not Hispanic or Latinx,12.8,9.2,16.2,9.2,,,117.76,149.04,0,149.04,266.8,646.7,0.4125560538,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adélaïde Labille-Guiard,16,Self-Portrait with Two Pupils,2020,784,2,French,Female,White,Not Hispanic or Latinx,12.8,9.2,24.8,9.3,,,117.76,230.64,0,230.64,348.4,651.84,0.5344869907,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adolphe William Bouguereau,5,The Birth of Venus,1970,657,3,French,Male,White,Not Hispanic or Latinx,10,7.4,9.5,6.9,,,74,65.55,0,65.55,139.55,471.845,0.2957539022,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adolphe William Bouguereau,6,The Birth of Venus,1975,683,3,French,Male,White,Not Hispanic or Latinx,10,7.3,9.5,7,,,73,66.5,0,66.5,139.5,468.05,0.2980450807,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adolphe William Bouguereau,7,Nymphs and Satyr,1980,774,3,French,Male,White,Not Hispanic or Latinx,13.5,9.4,12,8.4,,,126.9,100.8,0,100.8,227.7,568.48,0.4005417957,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adolphe William Bouguereau,8,Nymphs and Satyr,1986,853,3,French,Male,White,Not Hispanic or Latinx,13.4,9.5,21.5,8.4,,,127.3,180.6,0,180.6,307.9,578.76,0.5319994471,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adolphe William Bouguereau,9,Nymphs and Satyr,1991,916,3,French,Male,White,Not Hispanic or Latinx,12,8.3,14,8.4,,,99.6,117.6,0,117.6,217.2,616.5,0.3523114355,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adolphe William Bouguereau,10,Nymphs and Satyr,1996,978,3,French,Male,White,Not Hispanic or Latinx,12.8,9,12.6,9,,,115.2,113.4,0,113.4,228.6,586.42,0.3898229938,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adolphe William Bouguereau,11,Nymphs and Satyr,2001,897,3,French,Male,White,Not Hispanic or Latinx,10.3,7.1,8.3,9,,,73.13,74.7,0,74.7,147.83,677.44,0.2182185876,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adolphe William Bouguereau,12,Nymphs and Satyr,2005,861,3,French,Male,White,Not Hispanic or Latinx,12.8,8.8,7.4,8.9,,,112.64,65.86,0,65.86,178.5,657.66,0.2714168415,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adolphe William Bouguereau,13,Nymphs and Satyr,2009,805,3,French,Male,White,Not Hispanic or Latinx,13.6,9.3,6.9,9.3,,,126.48,64.17,0,64.17,190.65,648.93,0.293791318,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Bierstadt,11,Among the Sierra Nevada Mountains,2001,879,4,German-American,Male,White,Not Hispanic or Latinx,11,18.6,11.6,9,,,204.6,104.4,0,104.4,309,677.44,0.4561289561,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Bierstadt,12,Among the Sierra Nevada Mountains,2005,842,4,German-American,Male,White,Not Hispanic or Latinx,11,18.6,10.8,8.9,,,204.6,96.12,0,96.12,300.72,657.66,0.4572575495,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Bierstadt,13,Among the Sierra Nevada Mountains,2009,797,4,German-American,Male,White,Not Hispanic or Latinx,8.7,14.8,11.8,9.3,,,128.76,109.74,0,109.74,238.5,648.93,0.3675280847,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Bierstadt,14,Among the Sierra Nevada Mountains,2013,774,4,German-American,Male,White,Not Hispanic or Latinx,8.6,14.8,12.4,9.3,,,127.28,115.32,0,115.32,242.6,648.93,0.3738461776,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Bierstadt,15,"Among the Sierra Nevada Mountains, California",2016,814,4,German-American,Male,White,Not Hispanic or Latinx,11.2,19.1,12.3,9.2,,,213.92,113.16,0,113.16,327.08,646.7,0.5057677439,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Bierstadt,16,"Among the Sierra Nevada Mountains, California",2020,821,4,German-American,Male,White,Not Hispanic or Latinx,11.2,19,5.6,9.3,,,212.8,52.08,0,52.08,264.88,651.84,0.4063573883,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Pinkham Ryder,2,Moonlit Cove,1936,684,5,American,Male,White,Not Hispanic or Latinx,6.3,7.6,4,10.5,,,47.88,42,0,42,89.88,255.44,0.3518634513,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Pinkham Ryder,3,Moonlit Cove,1948,691,5,American,Male,White,Not Hispanic or Latinx,10.3,12.3,7.7,5.9,,,126.69,45.43,0,45.43,172.12,367.38,0.4685067233,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Pinkham Ryder,4,Moonlight Marine,1959,690,5,American,Male,White,Not Hispanic or Latinx,8,8.5,8,6.1,,,68,48.8,0,48.8,116.8,371.3,0.3145704282,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Pinkham Ryder,7,Death on a Pale Horse,1980,796,5,American,Male,White,Not Hispanic or Latinx,12.1,15.4,9.3,8.4,,,186.34,78.12,0,78.12,264.46,568.48,0.4652054602,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Pinkham Ryder,8,Death on a Pale Horse,1986,876,5,American,Male,White,Not Hispanic or Latinx,12.2,15.5,10.3,8.4,,,189.1,86.52,0,86.52,275.62,578.76,0.4762250328,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Pinkham Ryder,9,Death on a Pale Horse,1991,945,5,American,Male,White,Not Hispanic or Latinx,8.8,10.9,15.7,8.4,,,95.92,131.88,0,131.88,227.8,616.5,0.3695052717,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Pinkham Ryder,10,Death on a Pale Horse,1996,1009,5,American,Male,White,Not Hispanic or Latinx,10.7,13.5,14,9,,,144.45,126,0,126,270.45,586.42,0.4611882269,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Gardner,10,Carnage at Antietam,1996,962,6,Scottish,Male,White,Not Hispanic or Latinx,10.7,13.6,6.5,9,,,145.52,58.5,0,58.5,204.02,586.42,0.347907643,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandre Cabanel,4,The Birth of Venus,1959,654,7,French,Male,White,Not Hispanic or Latinx,8.3,14,11.5,6.1,,,116.2,70.15,0,70.15,186.35,371.3,0.501885268,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Stieglitz,4,Steerage,1959,737,8,American,Male,White,Not Hispanic or Latinx,7,5.7,18.7,6.1,,,39.9,114.07,0,114.07,153.97,371.3,0.4146781578,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Stieglitz,9,The Steerage,1991,1010,8,American,Male,White,Not Hispanic or Latinx,10.3,8.4,24.8,8.4,,,86.52,208.32,0,208.32,294.84,616.5,0.4782481752,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Stieglitz,10,The Steerage,1996,1082,8,American,Male,White,Not Hispanic or Latinx,11,8.9,25,9,,,97.9,225,0,225,322.9,586.42,0.5506292418,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Stieglitz,11,The Steerage,2001,1028,8,American,Male,White,Not Hispanic or Latinx,11.1,8.9,27.6,9,,,98.79,248.4,0,248.4,347.19,677.44,0.5125029523,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Stieglitz,12,The Steerage,2005,987,8,American,Male,White,Not Hispanic or Latinx,11,8.8,26.7,8.9,,,96.8,237.63,0,237.63,334.43,657.66,0.5085150382,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Stieglitz,13,The Steerage,2009,939,8,American,Male,White,Not Hispanic or Latinx,13,10.4,20.5,9.3,,,135.2,190.65,0,190.65,325.85,648.93,0.5021342826,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Stieglitz,14,The Steerage,2013,869,8,American,Male,White,Not Hispanic or Latinx,11.5,9.3,22.7,9.3,,,106.95,211.11,0,211.11,318.06,648.93,0.4901299062,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Stieglitz,15,The Steerage,2016,915,8,American,Male,White,Not Hispanic or Latinx,11.4,9.2,23.7,9.2,,,104.88,218.04,0,218.04,322.92,646.7,0.4993350858,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Stieglitz,16,The Steerage,2020,947,8,American,Male,White,Not Hispanic or Latinx,11.4,9.1,23,9.3,,,103.74,213.9,0,213.9,317.64,651.84,0.4872974963,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfredo Guido,3,Stevedores Resting,1948,764,9,Argentine,Male,White,Not Hispanic or Latinx,9.6,8.5,5.2,5.9,,,81.6,30.68,0,30.68,112.28,367.38,0.305623605,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Langdon Coburn,9,Ezra Pound Vortograph,1991,966,10,American,Male,White,Not Hispanic or Latinx,11.1,8.4,12.5,8.4,,,93.24,105,0,105,198.24,616.5,0.3215571776,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Mendieta,11,"Untitled, No. 401",2001,1120,11,Cuban-American,Female,White,Hispanic or Latinx,9.4,13.5,14.5,9,,,126.9,130.5,0,130.5,257.4,677.44,0.3799598488,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Mendieta,13,Flowers on Body,2009,992,11,Cuban-American,Female,White,Hispanic or Latinx,14.2,9.3,13,9.3,,,132.06,120.9,0,120.9,252.96,648.93,0.3898109195,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Mendieta,14,Flowers on Body,2013,923,11,Cuban-American,Female,White,Hispanic or Latinx,14.1,9.3,12.6,9.3,,,131.13,117.18,0,117.18,248.31,648.93,0.3826452776,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Mendieta,15,Flowers on Body,2016,977,11,Cuban-American,Female,White,Hispanic or Latinx,14,9.2,16,9.2,,,128.8,147.2,0,147.2,276,646.7,0.4267821246,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Mendieta,16,Flowers on Body,2020,986,11,Cuban-American,Female,White,Hispanic or Latinx,13.8,9.2,16.1,9.3,,,126.96,149.73,0,149.73,276.69,651.84,0.4244753314,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ando Hiroshige,14,"Plum Estate, Kameido",2013,1004,12,Japanese,Male,Asian,Not Hispanic or Latinx,16.3,10.8,14.6,14.2,,,176.04,207.32,0,207.32,383.36,648.93,0.5907570924,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ando Hiroshige,15,"Plum Estate, Kameido",2016,1077,12,Japanese,Male,Asian,Not Hispanic or Latinx,16.2,10.6,26,9.2,18,7.8,171.72,239.2,140.4,379.6,551.32,646.7,0.8525127571,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ando Hiroshige,16,"Plum Estate, Kameido, from One Hundred Famous Views of Edo",2020,1074,12,Japanese,Male,Asian,Not Hispanic or Latinx,15.6,10.3,15.2,13.9,,,160.68,211.28,0,211.28,371.96,651.84,0.5706308297,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Derain,4,London Bridge,1959,696,13,French,Male,White,Not Hispanic or Latinx,9.1,14,14.5,6.1,,,127.4,88.45,0,88.45,215.85,371.3,0.581335847,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Derain,5,London Bridge,1970,Plate 17-1,13,French,Male,White,Not Hispanic or Latinx,13.6,20.4,13,6.9,,,277.44,89.7,0,89.7,367.14,471.845,0.7780945014,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Derain,6,London Bridge,1975,Plate 17-2,13,French,Male,White,Not Hispanic or Latinx,13.6,20.4,10,7,,,277.44,70,0,70,347.44,468.05,0.7423138554,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Derain,7,London Bridge,1980,809,13,French,Male,White,Not Hispanic or Latinx,13.6,20.3,11.3,8.4,,,276.08,94.92,0,94.92,371,568.48,0.6526175063,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Derain,8,London Bridge,1986,892,13,French,Male,White,Not Hispanic or Latinx,13.5,19.8,11.8,8.4,,,267.3,99.12,0,99.12,366.42,578.76,0.6331121708,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Derain,9,London Bridge,1991,957,13,French,Male,White,Not Hispanic or Latinx,9.8,14.7,7,8.4,,,144.06,58.8,0,58.8,202.86,616.5,0.3290510949,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Derain,10,London Bridge,1996,1034,13,French,Male,White,Not Hispanic or Latinx,12.5,18.8,6,9,,,235,54,0,54,289,586.42,0.4928208451,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Derain,11,London Bridge,2001,1007,13,French,Male,White,Not Hispanic or Latinx,11.3,16.7,4.5,9,,,188.71,40.5,0,40.5,229.21,677.44,0.3383473075,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Derain,12,The Dance,2005,967,13,French,Male,White,Not Hispanic or Latinx,9.8,12.5,4,8.9,,,122.5,35.6,0,35.6,158.1,657.66,0.2403977739,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Derain,13,The Dance,2009,913,13,French,Male,White,Not Hispanic or Latinx,10.4,13.2,5.3,9.3,,,137.28,49.29,0,49.29,186.57,648.93,0.2875040451,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Derain,14,The Dance,2013,839,13,French,Male,White,Not Hispanic or Latinx,10.2,13,7,9.3,,,132.6,65.1,0,65.1,197.7,648.93,0.3046553557,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Derain,15,Mountains at Collioure,2016,885,13,French,Male,White,Not Hispanic or Latinx,9.8,12.1,4,9.2,8.8,6.2,118.58,36.8,54.56,91.36,209.94,646.7,0.3246327509,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Derain,15,The Dance,2016,885,13,French,Male,White,Not Hispanic or Latinx,9.7,12.3,4,9.2,,,119.31,36.8,0,36.8,156.11,646.7,0.2413947735,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Derain,16,Mountains at Collioure,2020,891,13,French,Male,White,Not Hispanic or Latinx,10.5,12.8,6.5,9.3,,,134.4,60.45,0,60.45,194.85,651.84,0.2989230486,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Derain,16,The Turning Road,2020,891,13,French,Male,White,Not Hispanic or Latinx,8.6,12.8,5,9.3,,,110.08,46.5,0,46.5,156.58,651.84,0.240212322,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André-Adolphe-Eugène Disdéri,9,Princess Buonaparte-Gabrielli,1991,911,14,French,Male,White,Not Hispanic or Latinx,10.3,12.5,15,8.4,,,128.75,126,0,126,254.75,616.5,0.4132197891,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Gursky,14,Chicago Board of Trade II,2013,970,15,German ,Male,White,Not Hispanic or Latinx,11.4,19.4,11.5,9.3,,,221.16,106.95,0,106.95,328.11,648.93,0.5056169387,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Gursky,15,Chicago Board of Trade II,2016,1016,15,German,Male,White,Not Hispanic or Latinx,9.6,16.3,11.3,9.2,,,156.48,103.96,0,103.96,260.44,646.7,0.4027215092,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Gursky,16,Chicago Board of Trade II,2020,1021,15,German,Male,White,Not Hispanic or Latinx,8.8,14.8,12.5,9.3,,,130.24,116.25,0,116.25,246.49,651.84,0.3781449435,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Wyeth,5,Christina's World,1970,729,16,American,Male,White,Not Hispanic or Latinx,9.4,14,11,6.9,,,131.6,75.9,0,75.9,207.5,471.845,0.4397630578,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Wyeth,6,Christina's World,1975,775,16,American,Male,White,Not Hispanic or Latinx,8.3,12.5,14,7,,,103.75,98,0,98,201.75,468.05,0.4310436919,gardner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
