ArtistName,ArtistUniqueID ,ArtistNationality,ArtistGender,ArtistRace,ArtistEthnicity,TitleofWork,EditionNumber,YearofPublication,PartinText,ChapterTitle,StartDateofWork,EndDateofWork,Circa,Medium,HeightofActualWork(in),HeightofActualWork(cm),WidthofActualWork(in),WidthofActualWork(cm),HeightofWorkinJanson(in inches),HeightofWorkinJanson(cm),WidthofWorkinJanson(in),WidthofWorkinJanson(cm),LengthofText(in),LengthofText(cm),WidthofText(in),WidthofText(cm),AreaActualWork(cm^2),AreaWorkinJanson(cm^2),AreaTextinJanson(cm^2),AreaRatioWork/Figure,WorkinTextinColor,LocationasCataloguedinJanson,,,,,
A. R. Penck,1,German,Male,White,Not Hispanic or Latinx,The Demon of Curiosity,5,1995,4,Post-Modernism,1982,1982,0,Acrylic on canvas,110.25,280.035,110.25,280.035,3.375,8.5725,3.5,8.89,4.75,12.065,3.5,8.89,78419.60123,76.209525,107.25785,1029,1,"Riverdell Collection, New York. Courtesy Micheal Werner Gallery, New York, NY, US",,,,,
A. R. Penck,1,German,Male,White,Not Hispanic or Latinx,The Demon of Curiosity,6,2001,4,Post-Modernism,1982,1982,0,Acrylic on canvas,110.25,280.035,110.25,280.035,3.375,8.5725,3.5,8.89,4.25,10.795,3.5,8.89,78419.60123,76.209525,95.96755,1029,1,"The Rivendell Collection of Late-Twentieth-Century Art on permanent loan to the Center for Curatorial Studies, Bard College, Annandale-on-Hudson, New York, US",,,,,
Aaron Siskind,2,American,Male,White,Not Hispanic or Latinx,New York 2,3,1986,4,Twentieth-Century Photography,1951,1951,0,Photograph,,,,,4.375,11.1125,3.5,8.89,1.25,3.175,3.5,8.89,0,98.790125,28.22575,0,0,Collection the artist,,,,,
Aaron Siskind,2,American,Male,White,Not Hispanic or Latinx,New York 2,4,1991,4,Twentieth-Century Photography,1951,1951,0,Photograph,,,,,4.375,11.1125,3.5,8.89,1.25,3.175,3.5,8.89,0,98.790125,28.22575,0,0,Collection the artist,,,,,
Aaron Siskind,2,American,Male,White,Not Hispanic or Latinx,New York 2,5,1995,4,Twentieth-Century Photography,1951,1951,0,Photograph,,,,,4.25,10.795,3.5,8.89,1.25,3.175,3.5,8.89,0,95.96755,28.22575,0,0,Collection the artist,,,,,
Aaron Siskind,2,American,Male,White,Not Hispanic or Latinx,New York 2,6,2001,4,Twentieth-Century Photography,1951,1951,0,Photograph,,,,,4.25,10.795,3.5,8.89,1.25,3.175,3.5,8.89,0,95.96755,28.22575,0,0,Collection the artist,,,,,
Adolph Gottlieb,3,American,Male,White,Not Hispanic or Latinx,Descent into Darkness,5,1995,4,Twentieth-Century Painting  ,1947,1947,0,Oil on masonite,30,76.2,25,63.5,4.375,11.1125,3.375,8.5725,5.25,13.335,3.5,8.89,4838.7,95.26190625,118.54815,50.79365079,1,"Smith College Museum of Art, Northamption, MA, US",,,,,
Adolph Gottlieb,3,American,Male,White,Not Hispanic or Latinx,Descent into Darkness,6,2001,4,Twentieth-Century Painting  ,1947,1947,0,Oil on masonite,30,76.2,25,63.5,4.25,10.795,3.25,8.255,5.75,14.605,3.5,8.89,4838.7,89.112725,129.83845,54.29864253,1,"Smith College Museum of Art, Northamption, MA, US",,,,,
Adolphe William Bouguereau,4,French,Male,White,Not Hispanic or Latinx,Nymphs and a Satyr,7,2007,4,"The Age of Positivism: Realism, Impressionism, and the Pre-Raphealites",1873,1873,0,Oil on canvas,108.375,275.2725,70.875,180.0225,5.5,13.97,3.875,9.8425,7.25,18.415,3.5,8.89,49555.24363,137.499725,163.70935,360.4024927,1,"Sterling and Francine Clark Art Institute, Williamstown, MA, US",,,,,
Adolphe William Bouguereau,4,French,Male,White,Not Hispanic or Latinx,Nymphs and a Satyr,8,2011,4,"The Age of Positivism: Realism, Impressionism, and the Pre-Raphealites",1873,1873,0,Oil on canvas,108.375,275.2725,70.875,180.0225,5.125,13.0175,3.625,9.2075,4.25,10.795,3.5,8.89,49555.24363,119.8586313,95.96755,413.4474348,1,"Sterling and Francine Clark Art Institute, Williamstown, MA",,,,,
